SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,1,1,0,0,0,0,0,0,0,NA,NA
42,AS,Assam,AS_Baksa,Baksa,16,16,0,0,0,0,0,0,0,NA,NA
43,AS,Assam,AS_Barpeta,Barpeta,75,37,38,0,0,7,7,0,0,NA,NA
44,AS,Assam,AS_Biswanath,Biswanath,44,44,0,0,0,4,4,0,0,NA,NA
45,AS,Assam,AS_Bongaigaon,Bongaigaon,11,6,5,0,0,0,0,0,0,NA,NA
46,AS,Assam,AS_Cachar,Cachar,80,15,65,0,0,0,0,0,0,NA,NA
47,AS,Assam,AS_Charaideo,Charaideo,14,14,0,0,0,0,0,0,0,NA,NA
48,AS,Assam,AS_Chirang,Chirang,33,33,0,0,0,0,0,0,0,NA,NA
49,AS,Assam,AS_Darrang,Darrang,43,43,0,0,0,0,0,0,0,NA,NA
50,AS,Assam,AS_Dhemaji,Dhemaji,43,38,5,0,0,9,9,0,0,NA,NA
51,AS,Assam,AS_Dhubri,Dhubri,238,233,5,0,0,0,0,0,0,NA,NA
52,AS,Assam,AS_Dibrugarh,Dibrugarh,43,39,4,0,0,1,1,0,0,NA,NA
53,AS,Assam,AS_Dima Hasao,Dima Hasao,76,69,7,0,0,0,0,0,0,NA,NA
54,AS,Assam,AS_Goalpara,Goalpara,42,38,4,0,0,0,0,0,0,NA,NA
55,AS,Assam,AS_Golaghat,Golaghat,209,174,35,0,0,0,0,0,0,NA,NA
56,AS,Assam,AS_Hailakandi,Hailakandi,44,43,0,1,0,0,0,0,0,NA,NA
57,AS,Assam,AS_Hojai,Hojai,198,198,0,0,0,40,40,0,0,NA,NA
58,AS,Assam,AS_Jorhat,Jorhat,27,1,26,0,0,0,0,0,0,NA,NA
59,AS,Assam,AS_Kamrup,Kamrup,115,96,19,0,0,0,0,0,0,NA,NA
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,391,138,250,3,0,0,0,0,0,NA,NA
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,10,9,1,0,0,2,2,0,0,NA,NA
62,AS,Assam,AS_Karimganj,Karimganj,76,74,2,0,0,0,0,0,0,NA,NA
63,AS,Assam,AS_Kokrajhar,Kokrajhar,57,57,0,0,0,0,0,0,0,NA,NA
64,AS,Assam,AS_Lakhimpur,Lakhimpur,56,50,6,0,0,1,1,0,0,NA,NA
65,AS,Assam,AS_Majuli,Majuli,0,0,0,0,0,0,0,0,0,NA,NA
66,AS,Assam,AS_Morigaon,Morigaon,49,43,6,0,0,1,1,0,0,NA,NA
67,AS,Assam,AS_Nagaon,Nagaon,96,96,0,0,0,7,7,0,0,NA,NA
68,AS,Assam,AS_Nalbari,Nalbari,25,21,4,0,0,0,0,0,0,NA,NA
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,NA,NA
69,AS,Assam,AS_Sivasagar,Sivasagar,26,26,0,0,0,0,0,0,0,NA,NA
70,AS,Assam,AS_Sonitpur,Sonitpur,31,5,26,0,0,3,3,0,0,NA,NA
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,6,5,1,0,0,0,0,0,0,NA,NA
72,AS,Assam,AS_Tinsukia,Tinsukia,68,68,0,0,0,2,2,0,0,NA,NA
73,AS,Assam,AS_Udalguri,Udalguri,65,65,0,0,0,0,0,0,0,NA,NA
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,13,13,0,0,0,0,0,0,0,NA,NA
75,BR,Bihar,BR_Araria,Araria,71,54,16,1,0,4,4,0,0,NA,NA
76,BR,Bihar,BR_Arwal,Arwal,54,21,33,0,0,2,2,0,0,NA,NA
77,BR,Bihar,BR_Aurangabad,Aurangabad,81,35,46,0,0,0,0,0,0,NA,NA
78,BR,Bihar,BR_Banka,Banka,128,61,67,0,0,0,0,0,0,NA,NA
79,BR,Bihar,BR_Begusarai,Begusarai,254,137,114,3,0,0,0,0,0,NA,NA
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,226,140,85,1,0,9,9,0,0,NA,NA
81,BR,Bihar,BR_Bhojpur,Bhojpur,103,62,39,2,0,4,4,0,0,NA,NA
82,BR,Bihar,BR_Buxar,Buxar,126,22,104,0,0,3,3,0,0,NA,NA
83,BR,Bihar,BR_Darbhanga,Darbhanga,130,76,54,0,0,5,5,0,0,NA,NA
101,BR,Bihar,BR_East Champaran,East Champaran,127,61,65,1,0,8,8,0,0,NA,NA
84,BR,Bihar,BR_Gaya,Gaya,106,70,36,0,0,1,1,0,0,NA,NA
85,BR,Bihar,BR_Gopalganj,Gopalganj,129,55,74,0,0,0,0,0,0,NA,NA
86,BR,Bihar,BR_Jamui,Jamui,45,25,19,1,0,0,0,0,0,NA,NA
87,BR,Bihar,BR_Jehanabad,Jehanabad,177,85,91,1,0,1,1,0,0,NA,NA
88,BR,Bihar,BR_Kaimur,Kaimur,98,47,51,0,0,4,4,0,0,NA,NA
89,BR,Bihar,BR_Katihar,Katihar,167,102,65,0,0,0,0,0,0,NA,NA
90,BR,Bihar,BR_Khagaria,Khagaria,273,179,91,3,0,0,0,0,0,NA,NA
91,BR,Bihar,BR_Kishanganj,Kishanganj,92,73,19,0,0,8,8,0,0,NA,NA
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,67,47,20,0,0,0,0,0,0,NA,NA
93,BR,Bihar,BR_Madhepura,Madhepura,97,60,36,1,0,0,0,0,0,NA,NA
94,BR,Bihar,BR_Madhubani,Madhubani,217,136,81,0,0,16,16,0,0,NA,NA
95,BR,Bihar,BR_Munger,Munger,167,33,133,1,0,0,0,0,0,NA,NA
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,76,45,31,0,0,0,0,0,0,NA,NA
97,BR,Bihar,BR_Nalanda,Nalanda,120,32,87,1,0,0,0,0,0,NA,NA
98,BR,Bihar,BR_Nawada,Nawada,113,63,49,1,0,0,0,0,0,NA,NA
100,BR,Bihar,BR_Patna,Patna,271,89,180,2,0,3,3,0,0,NA,NA
102,BR,Bihar,BR_Purnia,Purnia,135,99,36,0,0,15,15,0,0,NA,NA
103,BR,Bihar,BR_Rohtas,Rohtas,230,75,154,1,0,0,0,0,0,NA,NA
104,BR,Bihar,BR_Saharsa,Saharsa,77,31,46,0,0,0,0,0,0,NA,NA
105,BR,Bihar,BR_Samastipur,Samastipur,115,60,54,1,0,10,10,0,0,NA,NA
106,BR,Bihar,BR_Saran,Saran,100,68,31,1,0,10,10,0,0,NA,NA
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,108,88,20,0,0,0,0,0,0,NA,NA
108,BR,Bihar,BR_Sheohar,Sheohar,24,14,9,1,0,3,3,0,0,NA,NA
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,65,30,33,2,0,0,0,0,0,NA,NA
110,BR,Bihar,BR_Siwan,Siwan,115,61,52,2,0,7,7,0,0,NA,NA
111,BR,Bihar,BR_Supaul,Supaul,107,68,39,0,0,17,17,0,0,NA,NA
112,BR,Bihar,BR_Vaishali,Vaishali,90,50,38,2,0,5,5,0,0,NA,NA
99,BR,Bihar,BR_West Champaran,West Champaran,64,29,35,0,0,12,12,0,0,NA,NA
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,309,31,273,5,0,0,0,0,0,NA,NA
114,CT,Chhattisgarh,CT_Balod,Balod,37,18,19,0,0,0,0,0,0,NA,NA
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,81,69,12,0,0,0,0,0,0,NA,NA
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,18,13,5,0,0,0,0,0,0,NA,NA
117,CT,Chhattisgarh,CT_Bametara,Bametara,20,8,12,0,0,0,0,0,0,NA,NA
118,CT,Chhattisgarh,CT_Bastar,Bastar,3,3,0,0,0,0,0,0,0,NA,NA
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,0,0,0,0,0,0,0,0,0,NA,NA
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,98,81,17,0,0,0,0,0,0,NA,NA
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,0,0,0,0,0,0,0,0,0,NA,NA
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,6,5,1,0,0,0,0,0,0,NA,NA
123,CT,Chhattisgarh,CT_Durg,Durg,17,6,10,1,0,0,0,0,0,NA,NA
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,10,6,4,0,0,0,0,0,0,NA,NA
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,47,33,14,0,0,0,0,0,0,NA,NA
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,71,71,0,0,0,0,0,0,0,NA,NA
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,27,9,18,0,0,0,0,0,0,NA,NA
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,0,0,0,0,0,0,0,0,0,NA,NA
129,CT,Chhattisgarh,CT_Korba,Korba,94,60,34,0,0,0,0,0,0,NA,NA
130,CT,Chhattisgarh,CT_Koriya,Koriya,39,34,5,0,0,0,0,0,0,NA,NA
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,51,51,0,0,0,0,0,0,0,NA,NA
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,86,45,41,0,0,0,0,0,0,NA,NA
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,0,0,0,0,0,0,0,0,0,NA,NA
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,39,33,6,0,0,0,0,0,0,NA,NA
135,CT,Chhattisgarh,CT_Raipur,Raipur,30,21,8,1,0,0,0,0,0,NA,NA
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,47,46,1,0,0,0,0,0,0,NA,NA
137,CT,Chhattisgarh,CT_Sukma,Sukma,0,0,0,0,0,0,0,0,0,NA,NA
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,10,3,7,0,0,0,0,0,0,NA,NA
139,CT,Chhattisgarh,CT_Surguja,Surguja,9,3,6,0,0,0,0,0,0,NA,NA
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,20,9,11,0,0,0,0,0,0,NA,NA
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,3,3,0,0,0,0,0,0,0,NA,NA
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,NA,NA
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,NA,NA
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,NA,NA
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,NA,NA
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,NA,NA
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,NA,NA
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,NA,NA
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,NA,NA
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,NA,NA
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,NA,NA
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,NA,NA
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,14,13,1,0,0,0,0,0,0,NA,NA
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,0,0,0,0,0,0,0,0,0,NA,NA
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,0,0,0,0,0,0,0,0,0,NA,NA
155,GA,Goa,GA_North Goa,North Goa,6,0,6,0,0,0,0,0,0,NA,NA
156,GA,Goa,GA_South Goa,South Goa,65,64,1,0,0,0,0,0,0,NA,NA
0,GJ,Gujarat,GJ_Other State,Other State,25,17,8,0,0,0,0,0,0,NA,NA
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,13678,3231,9479,968,0,0,0,0,0,NA,NA
158,GJ,Gujarat,GJ_Amreli,Amreli,14,11,2,1,0,0,0,0,0,NA,NA
159,GJ,Gujarat,GJ_Anand,Anand,106,4,91,11,0,0,0,0,0,NA,NA
160,GJ,Gujarat,GJ_Aravalli,Aravalli,118,0,111,7,0,0,0,0,0,NA,NA
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,132,30,97,5,0,0,0,0,0,NA,NA
162,GJ,Gujarat,GJ_Bharuch,Bharuch,51,14,34,3,0,0,0,0,0,NA,NA
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,136,21,105,10,0,0,0,0,0,NA,NA
164,GJ,Gujarat,GJ_Botad,Botad,60,3,55,2,0,0,0,0,0,NA,NA
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,34,11,23,0,0,0,0,0,0,NA,NA
167,GJ,Gujarat,GJ_Dahod,Dahod,45,13,32,0,0,0,0,0,0,NA,NA
187,GJ,Gujarat,GJ_Dang,Dang,4,2,2,0,0,0,0,0,0,NA,NA
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,15,4,11,0,0,0,0,0,0,NA,NA
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,381,194,172,15,0,0,0,0,0,NA,NA
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,45,1,44,0,0,0,0,0,0,NA,NA
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,61,16,42,3,0,0,0,0,0,NA,NA
171,GJ,Gujarat,GJ_Junagadh,Junagadh,32,4,27,1,0,0,0,0,0,NA,NA
173,GJ,Gujarat,GJ_Kheda,Kheda,94,32,58,4,0,0,0,0,0,NA,NA
172,GJ,Gujarat,GJ_Kutch,Kutch,72,13,55,4,0,0,0,0,0,NA,NA
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,116,16,98,2,0,0,0,0,0,NA,NA
174,GJ,Gujarat,GJ_Mehsana,Mehsana,147,61,80,6,0,0,0,0,0,NA,NA
176,GJ,Gujarat,GJ_Morbi,Morbi,4,1,3,0,0,0,0,0,0,NA,NA
177,GJ,Gujarat,GJ_Narmada,Narmada,23,5,18,0,0,0,0,0,0,NA,NA
178,GJ,Gujarat,GJ_Navsari,Navsari,29,14,14,1,0,0,0,0,0,NA,NA
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,97,13,74,10,0,0,0,0,0,NA,NA
180,GJ,Gujarat,GJ_Patan,Patan,92,18,67,7,0,0,0,0,0,NA,NA
181,GJ,Gujarat,GJ_Porbandar,Porbandar,12,4,6,2,0,0,0,0,0,NA,NA
182,GJ,Gujarat,GJ_Rajkot,Rajkot,120,44,73,3,0,0,0,0,0,NA,NA
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,112,31,78,3,0,0,0,0,0,NA,NA
184,GJ,Gujarat,GJ_Surat,Surat,1942,583,1283,76,0,0,0,0,0,NA,NA
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,46,23,21,2,0,0,0,0,0,NA,NA
186,GJ,Gujarat,GJ_Tapi,Tapi,6,1,5,0,0,0,0,0,0,NA,NA
188,GJ,Gujarat,GJ_Vadodara,Vadodara,1224,461,721,42,0,0,0,0,0,NA,NA
189,GJ,Gujarat,GJ_Valsad,Valsad,46,22,22,2,0,0,0,0,0,NA,NA
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,21,12,9,0,0,0,0,0,0,NA,NA
213,HP,Himachal Pradesh,HP_Chamba,Chamba,29,16,13,0,0,0,0,0,0,NA,NA
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,120,63,56,1,0,0,0,0,0,NA,NA
215,HP,Himachal Pradesh,HP_Kangra,Kangra,101,50,50,1,0,0,0,0,0,NA,NA
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,2,2,0,0,0,0,0,0,0,NA,NA
217,HP,Himachal Pradesh,HP_Kullu,Kullu,4,3,1,0,0,0,0,0,0,NA,NA
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,0,0,0,0,0,0,0,0,0,NA,NA
219,HP,Himachal Pradesh,HP_Mandi,Mandi,20,9,9,2,0,0,0,0,0,NA,NA
220,HP,Himachal Pradesh,HP_Shimla,Shimla,12,3,8,1,0,0,0,0,0,NA,NA
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,11,8,3,0,0,0,0,0,0,NA,NA
222,HP,Himachal Pradesh,HP_Solan,Solan,32,17,11,1,3,0,0,0,0,NA,NA
223,HP,Himachal Pradesh,HP_Una,Una,41,16,25,0,0,0,0,0,0,NA,NA
0,HR,Haryana,HR_Foreign Evacuees,Foreign Evacuees,21,19,2,0,0,0,0,0,0,NA,NA
190,HR,Haryana,HR_Ambala,Ambala,77,32,43,2,0,1,1,0,0,NA,NA
191,HR,Haryana,HR_Bhiwani,Bhiwani,57,51,6,0,0,0,0,0,0,NA,NA
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,35,34,1,0,0,0,0,0,0,NA,NA
193,HR,Haryana,HR_Faridabad,Faridabad,581,400,171,10,0,0,0,0,0,NA,NA
194,HR,Haryana,HR_Fatehabad,Fatehabad,33,24,9,0,0,3,3,0,0,NA,NA
195,HR,Haryana,HR_Gurugram,Gurugram,1639,1303,332,4,0,76,76,0,0,NA,NA
196,HR,Haryana,HR_Hisar,Hisar,82,60,22,0,0,4,4,0,0,NA,NA
0,HR,Haryana,HR_Italians,Italians,14,0,14,0,0,0,0,0,0,NA,NA
197,HR,Haryana,HR_Jhajjar,Jhajjar,107,11,96,0,0,0,-4,4,0,NA,NA
198,HR,Haryana,HR_Jind,Jind,38,10,26,2,0,3,1,2,0,NA,NA
199,HR,Haryana,HR_Kaithal,Kaithal,34,27,7,0,0,0,0,0,0,NA,NA
200,HR,Haryana,HR_Karnal,Karnal,81,44,36,1,0,0,0,0,0,NA,NA
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,49,26,23,0,0,0,0,0,0,NA,NA
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,77,44,33,0,0,0,0,0,0,NA,NA
203,HR,Haryana,HR_Nuh,Nuh,85,19,66,0,0,0,0,0,0,NA,NA
204,HR,Haryana,HR_Palwal,Palwal,111,63,48,0,0,11,11,0,0,NA,NA
205,HR,Haryana,HR_Panchkula,Panchkula,28,2,26,0,0,0,0,0,0,NA,NA
206,HR,Haryana,HR_Panipat,Panipat,71,17,51,3,0,4,4,0,0,NA,NA
207,HR,Haryana,HR_Rewari,Rewari,45,33,12,0,0,0,0,0,0,NA,NA
208,HR,Haryana,HR_Rohtak,Rohtak,114,102,11,1,0,0,0,0,0,NA,NA
209,HR,Haryana,HR_Sirsa,Sirsa,50,37,13,0,0,0,0,0,0,NA,NA
210,HR,Haryana,HR_Sonipat,Sonipat,342,183,158,1,0,81,81,0,0,NA,NA
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,10,1,9,0,0,1,1,0,0,NA,NA
246,JH,Jharkhand,JH_Bokaro,Bokaro,25,9,15,1,0,0,0,0,0,NA,NA
247,JH,Jharkhand,JH_Chatra,Chatra,1,0,1,0,0,0,0,0,0,NA,NA
248,JH,Jharkhand,JH_Deoghar,Deoghar,5,0,5,0,0,0,0,0,0,NA,NA
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,72,62,10,0,0,1,1,0,0,NA,NA
250,JH,Jharkhand,JH_Dumka,Dumka,4,2,2,0,0,0,0,0,0,NA,NA
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,166,123,43,0,0,15,15,0,0,NA,NA
251,JH,Jharkhand,JH_Garhwa,Garhwa,84,16,68,0,0,6,6,0,0,NA,NA
252,JH,Jharkhand,JH_Giridih,Giridih,21,9,11,1,0,0,0,0,0,NA,NA
253,JH,Jharkhand,JH_Godda,Godda,1,0,1,0,0,0,0,0,0,NA,NA
254,JH,Jharkhand,JH_Gumla,Gumla,28,28,0,0,0,1,1,0,0,NA,NA
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,137,82,55,0,0,26,26,0,0,NA,NA
256,JH,Jharkhand,JH_Jamtara,Jamtara,2,0,2,0,0,0,0,0,0,NA,NA
257,JH,Jharkhand,JH_Khunti,Khunti,8,8,0,0,0,0,0,0,0,NA,NA
258,JH,Jharkhand,JH_Koderma,Koderma,61,35,25,1,0,1,1,0,0,NA,NA
259,JH,Jharkhand,JH_Latehar,Latehar,26,19,7,0,0,6,6,0,0,NA,NA
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,6,4,2,0,0,0,0,0,0,NA,NA
261,JH,Jharkhand,JH_Pakur,Pakur,5,-1,6,0,0,0,0,0,0,NA,NA
262,JH,Jharkhand,JH_Palamu,Palamu,28,10,18,0,0,1,1,0,0,NA,NA
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,63,53,10,0,0,7,7,0,0,NA,NA
266,JH,Jharkhand,JH_Ranchi,Ranchi,142,11,127,4,0,1,1,0,0,NA,NA
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,3,3,0,0,0,0,0,0,0,NA,NA
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,19,19,0,0,0,0,0,0,0,NA,NA
269,JH,Jharkhand,JH_Simdega,Simdega,94,70,24,0,0,30,30,0,0,NA,NA
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,16,13,3,0,0,0,0,0,0,NA,NA
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,383,223,155,5,0,0,0,0,0,NA,NA
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,180,43,136,1,0,0,0,0,0,NA,NA
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,308,197,104,7,0,0,0,0,0,NA,NA
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,138,69,67,2,0,0,0,0,0,NA,NA
228,JK,Jammu and Kashmir,JK_Doda,Doda,35,33,1,1,0,0,0,0,0,NA,NA
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,42,16,26,0,0,0,0,0,0,NA,NA
230,JK,Jammu and Kashmir,JK_Jammu,Jammu,190,125,63,2,0,0,0,0,0,NA,NA
231,JK,Jammu and Kashmir,JK_Kathua,Kathua,94,62,32,0,0,0,0,0,0,NA,NA
